DATE,CHIC917PCPI
1/1/1969,4698
1/1/1970,4945
1/1/1971,5241
1/1/1972,5660
1/1/1973,6243
1/1/1974,6842
1/1/1975,7315
1/1/1976,8009
1/1/1977,8825
1/1/1978,9757
1/1/1979,10714
1/1/1980,11694
1/1/1981,12892
1/1/1982,13613
1/1/1983,14299
1/1/1984,15628
1/1/1985,16469
1/1/1986,17415
1/1/1987,18525
1/1/1988,20160
1/1/1989,21289
1/1/1990,22627
1/1/1991,22900
1/1/1992,24384
1/1/1993,25059
1/1/1994,26118
1/1/1995,27662
1/1/1996,29096
1/1/1997,30614
1/1/1998,32414
1/1/1999,33723
1/1/2000,36130
1/1/2001,37036
1/1/2002,37262
1/1/2003,37798
1/1/2004,39129
1/1/2005,40991
1/1/2006,43706
1/1/2007,46104
1/1/2008,46679
1/1/2009,43539
1/1/2010,44511
1/1/2011,46509
1/1/2012,49031
1/1/2013,49980
1/1/2014,52962
1/1/2015,55769
1/1/2016,56522
1/1/2017,58501
1/1/2018,61970
1/1/2019,64079
1/1/2020,67671
