,RegionID,SizeRank,RegionName
0,17426,-4,Chicago
1,44597,-533,Cicero
2,50764,-578,Arlington Heights
3,33889,-593,Schaumburg
4,18025,-630,Evanston
5,33256,-762,Orland Park
6,26362,-764,Palatine
7,17761,-849,Des Plaines
8,20514,-875,Skokie
9,6267,-900,Oak Lawn
10,50985,-940,Berwyn
11,38718,-948,Glenview
12,39899,-959,Mount Prospect
13,6268,-1050,Oak Park
14,9969,-1061,Tinley Park
15,28533,-1131,Hoffman Estates
16,47876,-1407,Streamwood
17,21272,-1415,Wheeling
18,33178,-1452,Northbrook
19,33330,-1486,Park Ridge
20,10669,-1587,Calumet City
21,24568,-1714,Elk Grove Village
22,53581,-1806,Niles
23,55487,-1900,Chicago Heights
24,28517,-1976,Lansing
25,37652,-2179,Burbank
26,21319,-2249,Wilmette
27,16535,-2267,Oak Forest
28,53260,-2304,Melrose Park
29,27174,-2366,South Holland
30,11311,-2376,Elmwood Park
31,35973,-2448,Maywood
32,6055,-2460,Morton Grove
33,25548,-2471,Lemont
34,36955,-2592,Rolling Meadows
35,45676,-2626,Harvey
36,51040,-2747,Blue Island
37,28419,-2771,Franklin Park
38,8671,-2791,Dolton
39,35945,-2861,Matteson
40,33328,-2957,Park Forest
41,30611,-3048,Brookfield
42,11366,-3067,Evergreen Park
43,37366,-3122,Bellwood
44,16736,-3171,Alsip
45,45795,-3255,Homewood
46,43599,-3404,Bridgeview
47,46975,-3531,Palos Hills
48,27892,-3657,Westchester
49,14849,-3667,Country Club Hills
50,50540,-3727,Midlothian
51,25109,-3756,Hickory Hills
52,35766,-3770,Prospect Heights
53,12238,-3927,La Grange
54,11475,-4021,Forest Park
55,28425,-4040,Hazel Crest
56,6390,-4049,Palos Heights
57,26165,-4053,Norridge
58,25758,-4168,Markham
59,32352,-4170,La Grange Park
60,6783,-4227,Riverdale
61,44572,-4289,Chicago Ridge
62,35727,-4401,Justice
63,19026,-4459,Lincolnwood
64,34773,-4504,Western Springs
65,9085,-4676,Northlake
66,34876,-4703,Winnetka
67,27318,-4735,Summit
68,26755,-4848,Richton Park
69,40782,-4900,Schiller Park
70,20191,-4924,River Forest
71,29979,-4985,Flossmoor
72,17624,-4997,Crestwood
73,16897,-5164,Barrington Hills
74,28971,-5410,Palos Park
75,40578,-5416,River Grove
76,16400,-5434,Lyons
77,12053,-5457,Inverness
78,56647,-5488,Worth
79,45754,-5503,Hillside
80,23111,-5675,Lynwood
81,5087,-5780,Harwood Heights
82,49651,-5811,Riverside
83,49831,-6007,Steger
84,44323,-6108,Broadview
85,28578,-6274,Glencoe
86,44035,-6351,Barrington
87,37699,-6616,Calumet Park
88,36276,-6747,Sauk Village
89,18306,-6856,Glenwood
90,14002,-7066,Stickney
91,19681,-7285,North Riverside
92,51561,-7419,Countryside
93,56120,-7646,Orland Hills
94,22183,-7851,Olympia Fields
95,49870,-8110,Willow Springs
96,44139,-8830,Berkeley
97,40587,-9103,Robbins
98,47750,-9152,South Barrington
99,9238,-9231,Stone Park
100,8513,-9512,Hometown
101,40087,-9587,Northfield
102,53979,-9689,Posen
103,37665,-9700,Burnham
104,40969,-10649,South Chicago Heights
105,31236,-10683,Dixmoor
106,41227,-10863,Thornton
107,45870,-11367,Indian Head Park
108,26846,-12649,Rosemont
109,31586,-12708,Ford Heights
110,46013,-12786,Kenilworth
111,50935,-13238,Bedford Park
112,17872,-16017,East Hazel Crest
113,26480,-16803,Phoenix
114,25866,-20779,Merrionette Park
115,31795,-21145,Golf
116,32054,-21259,Hodgkins
117,53214,-21607,McCook
118,31594,-22199,Forestview
119,11693,-30968,Great Lakes
